algoritmo,n,min,max,promedio,Desviacion_estandar,Coeficiente_varicion
bruteforce,26,0.0024182540000765584,0.010926855000434443,0.002768784411436223,0.0007553991877468554,0.2728270155764908
bruteforce,29,0.00480060999871057,0.02776075699875946,0.005459474202454344,0.0014548412724276827,0.2664801075117543
bruteforce,28,0.0038261319987213938,0.015436703000887064,0.004346297167834242,0.0010067214264858353,0.23162738018382764
bruteforce,12,5.200700070417952e-05,0.00011674800043692812,5.364979804380582e-05,5.503248141597633e-06,0.10257723872705267
bruteforce,12,4.888100011157803e-05,0.00012353000056464225,5.4574528277673725e-05,1.0194434155119967e-05,0.18679839252573952
bruteforce,15,0.00013555300029111095,0.00026224900102533866,0.00013922921925747347,8.027287819335008e-06,0.05765519523951596
bruteforce,18,0.0003163900000799913,0.001028317001328105,0.0003577819032015519,8.672665884813062e-05,0.24240090980586643
bruteforce,11,3.62169994332362e-05,6.811700040998403e-05,3.730046375444394e-05,2.883822544682122e-06,0.07731331609351765
bruteforce,21,0.0006952279982215259,0.0015097079995030072,0.0007712267807309387,0.00013249201066303022,0.17179384063590147
bruteforce,12,5.094600055599585e-05,0.00012458299897843972,5.3216254316491484e-05,7.379232914830193e-06,0.1386650189798007
bruteforce,15,0.00013604400010081008,0.0006165610011521494,0.00014202684572841087,2.0885653837125908e-05,0.14705426801538807
bruteforce,18,0.0003202580010110978,0.0010323460010113195,0.000357846279101454,8.981822984414463e-05,0.25099668513998996
bruteforce,10,2.4865999876055866e-05,0.0001060069989762269,2.797086632384738e-05,6.9525936514367845e-06,0.2485655456981376
bruteforce,12,5.02540005982155e-05,0.0001399509983457392,5.2453655450296104e-05,4.371029025943257e-06,0.08333125667638444
bruteforce,12,5.21870006195968e-05,0.00010757100062619429,5.330816641218867e-05,3.193023916171535e-06,0.059897462829287346
bruteforce,20,0.0005391359991335776,0.004997378000552999,0.0006556564455183245,0.00026730208420304,0.40768619912174625
bruteforce,16,0.00018096700114256237,0.0004179299994575558,0.00018883359049058803,2.055631080181513e-05,0.10885939704059014
bruteforce,17,0.00023979799880180508,0.0020114750004722737,0.0002700649602829994,8.236784340749721e-05,0.30499270738856477
bruteforce,28,0.0038270540007943055,0.011784406000515446,0.004382228871895135,0.0009981141018811596,0.2277640285477641
bruteforce,25,0.0019321570016472833,0.0053713159995822934,0.0021297817363212243,0.00040977141802575563,0.1924006629588037
bruteforce,29,0.00479969899970456,0.017076534000807442,0.005396696306663842,0.001136509686570568,0.21059359689504956
bruteforce,19,0.0004138630010857014,0.00087690700092935,0.00044815906591634866,3.963821266223985e-05,0.08844674955128218
bruteforce,25,0.0019145739988744026,0.0063402870000572875,0.002180300333806416,0.0005280182088470354,0.2421768233760757
bruteforce,27,0.0030510050000884803,0.010034960998382303,0.003414038059343255,0.0006949010994020591,0.20354228257658455
bruteforce,12,4.971299858880229e-05,0.0011788919982791413,7.369257971862674e-05,3.825307843779803e-05,0.519089962433885
bruteforce,26,0.002427772000373807,0.010867285000131233,0.002730211558212654,0.0006390080310578052,0.234050738352355
bruteforce,13,7.174399979703594e-05,0.00013234799916972406,7.342587844799694e-05,4.053861343609232e-06,0.05521025324171415
bruteforce,28,0.0038094910014478955,0.02313012299964612,0.00434965120664145,0.001123521324587191,0.2583014755003102
bruteforce,17,0.00024206200032494962,0.0008667580004839692,0.00026187332027872924,5.473572667603538e-05,0.20901604874363108
bruteforce,17,0.0002407690008112695,0.0009796190006454708,0.00027920982190577075,8.483598919262432e-05,0.3038431406659298
bruteforce,18,0.00032450599974254146,0.000656786000035936,0.0003362502286109643,3.7177931069316196e-05,0.11056626258039044
bruteforce,23,0.001211540999065619,0.0066691579995676875,0.0012876618148537102,0.0003104652301406431,0.24110774005977237
bruteforce,14,9.77729996520793e-05,0.0014536939997924492,0.00011251187096425546,4.6780602877191626e-05,0.4157837077658554
bruteforce,13,6.926899914105888e-05,0.00019305999921925832,7.286808323077285e-05,6.557820254870809e-06,0.08999578366981639
bruteforce,22,0.000941406999118044,0.010942614999294165,0.0010709237157540692,0.00040850455360179783,0.38145065572122255
bruteforce,27,0.0030474180002784124,0.008644104000268271,0.003382025097698439,0.0006185441406378184,0.1828916470959233
bruteforce,23,0.0012152179988333955,0.003951676000724547,0.0013526297166818835,0.0003580312584126601,0.2646927344542906
bruteforce,12,4.975199954060372e-05,0.0002463929995428771,5.312500280478199e-05,1.0742092028727402e-05,0.2022040745710881
bruteforce,13,6.926899914105888e-05,0.0020914339984301478,8.166047361065433e-05,0.00010240302549113054,1.2540096935926894
bruteforce,12,5.141600013303105e-05,8.922600136429537e-05,5.246898547799768e-05,2.6465886613789753e-06,0.05044101076604186
bruteforce,19,0.0004027920003863983,0.0010890930007008137,0.00044623361009611705,6.593620282412765e-05,0.14776162380490623
bruteforce,23,0.0012069229996996,0.00441486999989138,0.0012879213272596664,0.0002478952096590982,0.19247698163873825
bruteforce,21,0.0006950280003366061,0.003399544999410864,0.0007955476376541727,0.00020100304164432162,0.2526599692219793
bruteforce,30,0.0059563579998211935,0.023349553999651107,0.0067472486877201785,0.0014313410151647764,0.21213698818746385
bruteforce,28,0.0038185169996722834,0.011954396000874112,0.004333221124805162,0.0009399034566041122,0.2169064143123723
bruteforce,26,0.002394819999608444,0.0071138080002128845,0.002682060983618133,0.0005034322914099885,0.18770352146536662
bruteforce,16,0.00018528600048739463,0.000755369999751565,0.00018953545065757935,1.3629315470625639e-05,0.07190905671387451
